Feature,Importance Mean,Importance Std,Lead Group
aVL_beat_r_amp,0.032618320337312726,0.01621370009982365,aVL
V2_minus_V3_st_mean,0.02353076612204533,0.014414268108814464,V2
V1_strip_kurtosis,0.021055183899988488,0.015395072290513286,V1
aVF_beat_qrs_range,0.018048685754706948,0.01575341086345142,aVF
V2_strip_max,0.017474071877110565,0.01340833751810821,V2
V4_strip_zero_cross,0.017058463598263858,0.01870451751285924,V4
V2_strip_q25,0.015067107593691276,0.013107948006331062,V2
aVF_strip_q05,0.014902360295207532,0.008015409265264152,aVF
III_beat_st_mean,0.013461255211433718,0.005710260671087935,I
V1_strip_skew,0.01311417287770189,0.0063056458175688255,V1
V1_strip_ptp,0.013001083712349976,0.005250441820883583,V1
II_strip_max,0.011509117763198937,0.015232519349454198,I
V2_beat_q_min,0.011451338600247815,0.010333104126300096,V2
aVL_beat_st_mean,0.01132574836937274,0.005483110904781661,aVL
V1_beat_r_amp,0.010990319204604896,0.003465865904032962,V1
V1_beat_q_min,0.010856733932082415,0.01508804466019062,V1
V1_strip_max,0.010741985905594576,0.021049020721543753,V1
aVF_beat_t_max,0.01056192045833491,0.003001927256859661,aVF
V4_strip_min,0.010024764272192585,0.005345710155078742,V4
V1_strip_q25,0.00973915217644209,0.008500236579320473,V1
V3_beat_st_mean,0.00972226014462855,0.010258645160070723,V3
aVR_beat_r_amp,0.009544026307962541,0.009774816338174494,aVR
V2_post_r_200ms_mean,0.008820512024365842,0.010543049073845972,V2
II_strip_q95,0.008537875222511353,0.0019248385092902611,I
II_beat_qrs_range,0.008245715721276678,0.005707843136472675,I
V2_beat_st_mean,0.008153554755890297,0.003746109754141064,V2
aVF_strip_mean,0.008057049768640068,0.0053828703026537255,aVF
V2_strip_q05,0.008021594718030526,0.04155383483204548,V2
V4_strip_rms,0.008008072888894654,0.003435562244851053,V4
III_beat_r_amp,0.00777777777777775,0.0038194315604812446,I
aVR_strip_abs_area,0.00771703092224014,0.00536497018510649,aVR
V1_beat_pre_mean,0.007637709176588775,0.01072825418194246,V1
V3_beat_t_max,0.00759740259740258,0.0022315376983687817,V3
corr_I_II,0.00751472456077634,0.005526710398512229,cross-lead / global
V4_strip_q05,0.0073472325207133565,0.0207589504311081,V4
V6_strip_mean,0.00714919889367131,0.0032111172303969366,V6
V4_strip_abs_area,0.0070938321211181325,0.003697233029213499,V4
V4_beat_energy,0.007066861724822557,0.010507966109018368,V4
II_beat_t_max,0.006991284714277143,0.016942285369968883,I
V6_beat_energy,0.006984126984126959,0.001820213482726932,V6
III_beat_energy,0.0067200902379170365,0.0070451431013471505,I
II_strip_zero_cross,0.006655061985792315,0.00658876937519382,I
V2_post_r_100ms_mean,0.006633398431179402,0.0031401106189407565,V2
III_strip_kurtosis,0.006619365107820896,0.008765885461967169,I
V3_strip_q05,0.006483367239840299,0.0034632136179804226,V3
aVL_beat_pre_mean,0.006336651066325721,0.003342817532201092,aVL
II_strip_abs_area,0.006336538878554757,0.003768046476074362,I
II_strip_q75,0.006294960987673348,0.007282615988030833,I
aVL_beat_t_mean,0.006218252092917004,0.003902226728039768,aVL
aVR_strip_q05,0.006041837453797575,0.004178510975399125,aVR
V6_strip_kurtosis,0.006026281292923918,0.005277666275262044,V6
aVR_beat_energy,0.005851256993283566,0.004154893506278495,aVR
V2_beat_t_max,0.005653823443721279,0.004501478589521258,V2
I_strip_std,0.005597872718861729,0.014080063508855122,I
II_beat_s_min,0.005574938123311643,0.007693094377585294,I
V1_strip_abs_area,0.005498611737877071,0.004250857628046126,V1
V2_strip_q75,0.00547254080738224,0.007602288792027243,V2
V2_beat_r_amp,0.005291696943801827,0.006755368485145126,V2
II_strip_std,0.0052573400177298975,0.003135946109175288,I
V4_beat_t_mean,0.005254787356316196,0.005702241173525673,V4
V4_beat_r_amp,0.005051206176621451,0.003693209464851668,V4
V3_post_r_150ms_mean,0.004903762252615129,0.0045242364487072416,V3
V5_strip_skew,0.004865657729685608,0.004411352747633575,V5
V1_V2_st_mean_avg,0.004755979067611863,0.008685775922251055,V1
I_strip_q95,0.004755073276667981,0.002169455912440066,I
aVR_strip_min,0.004742721348453785,0.0030985865449212288,aVR
aVR_strip_ptp,0.004686686691970587,0.003829886513698433,aVR
V5_strip_min,0.004548756394536013,0.005381066761982508,V5
V3_beat_area,0.004448969718511478,0.003640911228543789,V3
III_strip_zero_cross,0.0043974416390032325,0.004832601906803428,I
V6_beat_st_slope,0.004337045530379782,0.009766846735545506,V6
V5_beat_q_min,0.004336454039361376,0.009218252469954991,V5
aVL_beat_qrs_range,0.004335599261475256,0.004230366850604085,aVL
V3_beat_st_max,0.004269455552910831,0.01059319956857403,V3
V1_strip_zero_cross,0.004225658459898812,0.007726050451732934,V1
aVR_beat_s_min,0.0042207792207792135,0.0031310554418808164,aVR
III_strip_mean,0.004141414141414157,0.003336377238782359,I
V2_strip_median,0.004115646258503405,0.004183296361422448,V2
V2_beat_qrs_range,0.00411354899474905,0.0031123532948973114,V2
V5_beat_st_slope,0.004103274433463103,0.003913092146688677,V5
II_strip_ptp,0.004018788641272952,0.008999282257716465,I
V1_post_r_150ms_mean,0.0039778959504873064,0.004689432935318312,V1
II_strip_min,0.003938087405303594,0.0022692782347851982,I
aVR_strip_rms,0.0039320164850653065,0.004360092680890666,aVR
aVR_beat_st_mean,0.003850781367235928,0.0030772763094095283,aVR
V1_strip_rms,0.0038106404579115625,0.005884035010274751,V1
V1_beat_s_min,0.0038048387408306517,0.006509155665284616,V1
V2_beat_energy,0.0037020537601933135,0.001656037299180633,V2
V3_beat_t_mean,0.003701814058956904,0.003517165975190197,V3
aVF_strip_zero_cross,0.003691588664720802,0.00271375347677317,aVF
aVR_strip_skew,0.003625840752086612,0.0022719129288665285,aVR
V4_strip_q75,0.0036085519606820745,0.007113499365067114,V4
I_strip_zero_cross,0.0035979012864185284,0.009285257842765378,I
II_strip_skew,0.003584140217362439,0.006970917432479017,I
V4_strip_ptp,0.0035714285714285587,0.0035714285714285587,V4
V6_strip_abs_area,0.003519568011691404,0.00504101319271351,V6
V6_beat_s_min,0.003516083752211738,0.01367352021433085,V6
aVF_strip_q25,0.0035026035598676535,0.004046457278171866,aVF
V3_strip_max,0.0034517406648040317,0.0036383444954528003,V3
V2_beat_st_max,0.0034353741496598506,0.0034757733241012226,V2
V5_beat_s_min,0.0033866189181803756,0.004576566983067019,V5
aVL_strip_max,0.0033750386556284954,0.004259196592477279,aVL
I_strip_abs_area,0.003333485671760614,0.004663156724659731,I
aVF_strip_skew,0.003325136229448894,0.004355716165282832,aVF
corr_V1_V2,0.003214285714285703,0.003553526561095059,cross-lead / global
V6_strip_q75,0.00318012514959789,0.021876694715070297,V6
V2_beat_st_slope,0.0031421212636909696,0.007691690096831536,V2
V1_post_r_100ms_mean,0.003078231292516967,0.0015567496226931042,V1
V5_beat_t_max,0.0030430908630841415,0.005063376704272871,V5
aVF_beat_st_max,0.002961099927160785,0.0045459523855867255,aVF
I_beat_st_slope,0.002955094204545719,0.0019603907324644474,I
aVF_beat_st_mean,0.002784062548213476,0.0013694224512798023,aVF
V3_strip_ptp,0.002759740259740284,0.0011593227968413821,V3
V6_strip_max,0.002712451816764977,0.0025509609642112158,V6
V6_strip_min,0.002704340385940804,0.0049222198224736745,V6
V3_post_r_100ms_mean,0.0026443073457741496,0.00577038126392855,V3
III_strip_q05,0.0026369436958277896,0.0023454129592315257,I
V1_V2_qrs_avg,0.002575384425355723,0.006433032986700996,V1
V5_strip_std,0.002517456116170716,0.003445890475049592,V5
V4_strip_kurtosis,0.0024116347480291483,0.0043051461545849075,V4
aVF_strip_abs_area,0.0023974714424271487,0.003048976218813162,aVF
V1_beat_st_slope,0.0023819767347650787,0.010625492947362376,V1
aVR_strip_median,0.0023408923443129503,0.004652829131612867,aVR
V5_strip_q05,0.0023094186059615662,0.002996513290859217,V5
I_strip_skew,0.002300556586270863,0.005256742696227922,I
V3_strip_median,0.0022322910309495736,0.002908852437707099,V3
V2_strip_std,0.0022238075566062498,0.00171705612009593,V2
V4_beat_st_max,0.0021995386458489945,0.0040407358672785425,V4
V1_strip_mean,0.002181827789001978,0.0038251209175053417,V1
III_beat_pre_mean,0.002159707302774605,0.00358132026596721,I
aVR_beat_q_min,0.0021428571428571104,0.0010378330817953827,aVR
aVR_strip_q25,0.002123392080453429,0.004031657544463743,aVR
aVF_beat_q_min,0.002105937479477743,0.011514765511166192,aVF
